	learn:mm.csv check jqzx.csv:383:「我是可微分编程的粉丝」，Gary Marcus再回应深度学习批判言论     	 Result: 	0.36362576061100593 	849 	347



  	class: 驾驶  	d: 3  	pt: 2.0  	diff:  驾驭A0.5 驾A0.5 驾驶B1.0
  	class: 文件  	d: 6  	pt: 2.0  	diff:  文件A1.0 文本B1.0
  	class: 好  	d: 49  	pt: 2.0  	diff:  优秀A0.1509433962264151 精彩A0.018867924528301886 帅A0.33962264150943394 漂亮A0.39622641509433965 优A0.018867924528301886 理想A0.07547169811320754 出色B1.0
  	class: 核心  	d: 12  	pt: 2.0  	diff:  重心A1.0 关键性B1.0
  	class: 前人  	d: 6  	pt: 2.0  	diff:  前任A0.8888888888888888 过来人A0.1111111111111111 先驱B0.5 先驱者B0.5
  	class: 共同  	d: 31  	pt: 2.0  	diff:  合伙A0.5 协同A0.5 联合B1.0
  	class: 资料  	d: 5  	pt: 2.0  	diff:  材A1.0 资料B1.0
  	class: 因为  	d: 7  	pt: 2.0  	diff:  坐A1.0 归因于B1.0
  	class: 躲藏  	d: 27  	pt: 2.0  	diff:  隐形A0.3333333333333333 躲A0.6666666666666666 隐藏B1.0
  	class: 培养  	d: 11  	pt: 2.0  	diff:  培养A1.0 塑造B1.0
  	class: 标注  	d: 4  	pt: 2.0  	diff:  标A1.0 标注B1.0
  	class: 禽  	d: 9  	pt: 2.0  	diff:  鸟A1.0 鸟儿B1.0
  	class: 依靠  	d: 32  	pt: 2.0  	diff:  负A0.14285714285714285 指A0.42857142857142855 赖A0.42857142857142855 依赖B1.0
  	class: 马路  	d: 4  	pt: 2.0  	diff:  马路A1.0 街道B1.0
  	class: 计算机  	d: 8  	pt: 2.0  	diff:  电脑A1.0 计算机B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 填  	d: 11  	pt: 2.0  	diff:  填A1.0 填入B1.0
  	class: 公开  	d: 16  	pt: 2.0  	diff:  当众A1.0 自明B1.0
  	class: 秘密  	d: 14  	pt: 2.0  	diff:  秘密A0.3333333333333333 密A0.3333333333333333 神秘A0.3333333333333333 机密B1.0
  	class: 一再  	d: 23  	pt: 2.0  	diff:  反复A0.625 勤A0.25 频繁A0.125 数B1.0
  	class: 下令  	d: 13  	pt: 2.0  	diff:  命令A0.2 命A0.8 指令B1.0
  	class: 有害  	d: 26  	pt: 2.0  	diff:  害A0.11764705882352941 伤害A0.6470588235294118 重伤A0.058823529411764705 伤A0.17647058823529413 危害B1.0
  	class: 完成  	d: 18  	pt: 2.0  	diff:  交卷A0.5 到位A0.5 成就B1.0
  	class: 范围  	d: 6  	pt: 2.0  	diff:  局面A0.16666666666666666 圈圈A0.8333333333333334 层面B1.0
  	class: 标准  	d: 12  	pt: 2.0  	diff:  条件A0.5384615384615384 原则A0.46153846153846156 基准B1.0
  	class: 意义  	d: 2  	pt: 2.0  	diff:  意义A1.0 含义B1.0
  	class: 系统  	d: 2  	pt: 2.0  	diff:  体系A1.0 系统B1.0
  	class: 见解  	d: 8  	pt: 2.0  	diff:  视角A0.3333333333333333 看法A0.3333333333333333 意见A0.16666666666666666 理念A0.16666666666666666 观点B1.0
  	class: 缺少  	d: 14  	pt: 2.0  	diff:  欠A0.3076923076923077 缺A0.15384615384615385 短A0.46153846153846156 缺少A0.07692307692307693 缺乏B1.0
