learn:jqzx.csv check Article65:七宗罪：我们是如何错误预估人工智能的 	 Result: 	0.2044837352396336 	1666 	572



  	class: 劳动者  	d: 3  	pt: 2.0  	diff:  生产者A1.0 劳动者B1.0
  	class: 健康人  	d: 4  	pt: 2.0  	diff:  正常人A1.0 常人B1.0
  	class: 聪明人  	d: 5  	pt: 2.0  	diff:  聪明人A1.0 智囊B1.0
  	class: 凶残  	d: 9  	pt: 2.0  	diff:  残酷A1.0 残忍B1.0
  	class: 罪犯  	d: 9  	pt: 2.0  	diff:  囚徒A1.0 犯人B1.0
  	class: 阴  	d: 11  	pt: 2.0  	diff:  阴天A1.0 阴暗B1.0
  	class: 躲藏  	d: 27  	pt: 2.0  	diff:  隐藏A0.9818181818181818 掩蔽A0.00909090909090909 隐蔽A0.004545454545454545 隐形A0.004545454545454545 伏B1.0
  	class: 名声  	d: 9  	pt: 2.0  	diff:  名誉A0.3333333333333333 信誉A0.16666666666666666 声誉A0.16666666666666666 名气A0.16666666666666666 声望A0.16666666666666666 名声B1.0
  	class: 标注  	d: 4  	pt: 2.0  	diff:  标注A0.9863945578231292 标A0.013605442176870748 标出B1.0
  	class: 牢  	d: 16  	pt: 2.0  	diff:  凝固A1.0 耐用B1.0
  	class: 五金  	d: 4  	pt: 2.0  	diff:  金属A1.0 五金B1.0
  	class: 电话机  	d: 8  	pt: 2.0  	diff:  电话A1.0 公用电话B1.0
  	class: 电线  	d: 2  	pt: 2.0  	diff:  电缆A1.0 电线B1.0
  	class: 眼镜  	d: 2  	pt: 2.0  	diff:  眼镜A1.0 镜子B1.0
  	class: 生活  	d: 12  	pt: 2.0  	diff:  光阴A0.5 过日子A0.5 日子B1.0
  	class: 期限  	d: 5  	pt: 2.0  	diff:  时限A1.0 期限B1.0
  	class: 圆圈  	d: 4  	pt: 2.0  	diff:  圆圈A0.38461538461538464 圆形A0.6153846153846154 线圈B1.0
  	class: 风景  	d: 14  	pt: 2.0  	diff:  景点A0.25 景物A0.125 景色A0.125 景观A0.5 风景B1.0
  	class: 性格  	d: 12  	pt: 2.0  	diff:  性A0.9888888888888889 性格A0.005555555555555556 人性A0.005555555555555556 脾气B1.0
  	class: 最  	d: 21  	pt: 2.0  	diff:  无限A0.9285714285714286 太A0.03571428571428571 无比A0.03571428571428571 至极B1.0
  	class: 阻力  	d: 4  	pt: 2.0  	diff:  障碍A1.0 阻力B1.0
  	class: 倍数  	d: 4  	pt: 2.0  	diff:  倍数A1.0 翻番B1.0
  	class: 无用  	d: 15  	pt: 2.0  	diff:  低效A0.36666666666666664 无效A0.1 无用A0.2 没用A0.2 不算A0.13333333333333333 行不通B1.0
  	class: 跑  	d: 6  	pt: 2.0  	diff:  奔跑A0.8888888888888888 跑动A0.1111111111111111 跑步B1.0
  	class: 听  	d: 3  	pt: 2.0  	diff:  听听A1.0 收听B1.0
  	class: 保卫  	d: 5  	pt: 2.0  	diff:  卫A1.0 捍卫B1.0
