	learn:jqzx.csv check xkd.csv:49:【解局】美国的“台湾旅行法”到底是个什么鬼？     	 Result: 	0.30696332883986766 	456 	167



  	class: 卖  	d: 11  	pt: 2.0  	diff:  售卖A0.21428571428571427 货A0.07142857142857142 卖A0.7142857142857143 售B1.0
  	class: 正派  	d: 12  	pt: 2.0  	diff:  不俗A1.0 自重B1.0
  	class: 明显  	d: 53  	pt: 2.0  	diff:  确定性A0.7 简明A0.3 扎眼B1.0
  	class: 根源  	d: 7  	pt: 2.0  	diff:  源自A0.5 本源A0.5 渊源B1.0
  	class: 钳制  	d: 8  	pt: 2.0  	diff:  制约A0.75 掣肘A0.25 牵制B0.3333333333333333 制裁B0.6666666666666666
  	class: 曲牌  	d: 5  	pt: 2.0  	diff:  牌子A1.0 牌B1.0
  	class: 会面  	d: 11  	pt: 2.0  	diff:  见面A1.0 会见B1.0
  	class: 完成  	d: 18  	pt: 2.0  	diff:  成就A0.9523809523809523 到位A0.047619047619047616 落成B1.0
  	class: 步伐  	d: 3  	pt: 2.0  	diff:  脚步A0.25 步伐A0.75 步子B1.0
  	class: 一方面  	d: 8  	pt: 2.0  	diff:  单向A1.0 单方面B1.0
  	class: 尊敬  	d: 11  	pt: 2.0  	diff:  敬意A1.0 尊敬B1.0
  	class: 策划  	d: 10  	pt: 2.0  	diff:  策划A1.0 图谋B1.0
  	class: 商业  	d: 7  	pt: 2.0  	diff:  商业A0.9895833333333334 买卖A0.010416666666666666 经贸B1.0
  	class: 举动  	d: 7  	pt: 2.0  	diff:  举措A1.0 行径B1.0
  	class: 劝告  	d: 19  	pt: 2.0  	diff:  劝导A0.5 规A0.5 奉劝B1.0
  	class: 决定  	d: 12  	pt: 2.0  	diff:  决策A0.9893048128342246 表决A0.0106951871657754 决议B1.0
  	class: 建议  	d: 8  	pt: 2.0  	diff:  建议A0.9685534591194969 提议A0.031446540880503145 决议案B1.0
  	class: 合格  	d: 7  	pt: 2.0  	diff:  合格A1.0 过关B1.0
  	class: 调戏  	d: 3  	pt: 2.0  	diff:  调戏A1.0 玩弄B1.0
  	class: 跨  	d: 7  	pt: 2.0  	diff:  迈出A0.4 横跨A0.4 横亘A0.2 迈B1.0
  	class: 实现  	d: 6  	pt: 2.0  	diff:  贯彻A0.5 落实A0.5 兑现B1.0
  	class: 否定  	d: 2  	pt: 2.0  	diff:  推翻A1.0 否决B1.0
  	class: 取决  	d: 4  	pt: 2.0  	diff:  取决于A0.9807692307692307 有赖于A0.019230769230769232 取决B1.0
  	class: 音信  	d: 7  	pt: 1.9260663507109004  	diff:  信息A0.9630331753554502 消息AB0.9630331753554502
  	class: 领导  	d: 14  	pt: 1.9157894736842105  	diff:  领导者A0.12631578947368421 负责人A0.42105263157894735 官员AB0.9578947368421052 领导A0.30526315789473685 管理者A0.031578947368421054 决策者A0.07368421052631578
  	class: 包  	d: 6  	pt: 1.9069767441860466  	diff:  封装A0.6744186046511628 包装A0.11627906976744186 打包AB0.9534883720930233 装进A0.046511627906976744 包裹A0.11627906976744186
  	class: 呈现  	d: 7  	pt: 1.8964577656675752  	diff:  表现A0.8528610354223434 展现AB0.9482288828337875 呈现A0.08446866485013624 变现A0.005449591280653951 显现A0.005449591280653951
  	class: 接受  	d: 9  	pt: 1.8947368421052633  	diff:  接受A0.7894736842105263 领A0.14912280701754385 承受AB0.9473684210526316 奉A0.008771929824561403
  	class: 知识  	d: 4  	pt: 1.8934169278996864  	diff:  文化AB0.9467084639498433 知识A0.9404388714733543 学问A0.003134796238244514 学识A0.003134796238244514
  	class: 取得  	d: 16  	pt: 1.8881578947368423  	diff:  获取A0.6480263157894737 取A0.2138157894736842 赢得A0.03289473684210526 获AB0.45394736842105265 落AB0.4901315789473684 抱A0.01644736842105263 收获A0.023026315789473683 博A0.009868421052631578
  	class: 政策  	d: 5  	pt: 1.8761904761904762  	diff:  策略A0.9357142857142857 政策AB0.9380952380952381 方针A0.002380952380952381
  	class: 传播  	d: 21  	pt: 1.8500000000000003  	diff:  传感A0.225 扩散A0.3 传来AB0.925 传入A0.3 传到A0.1
  	class: 实质  	d: 10  	pt: 1.85  	diff:  本质A0.9 实质AB0.925 原形A0.0125 面目A0.0125
  	class: 过程  	d: 4  	pt: 1.805439330543933  	diff:  过程A0.893305439330544 进程AB0.9027196652719666 历程A0.009414225941422594
  	class: 见解  	d: 8  	pt: 1.7909090909090908  	diff:  观点A0.4681818181818182 理念AB0.8954545454545455 看法A0.12727272727272726 视角A0.2 见解A0.05909090909090909 意见A0.031818181818181815 眼光A0.00909090909090909
  	class: 游戏  	d: 24  	pt: 1.7833333333333332  	diff:  玩耍A0.004166666666666667 游戏A0.8833333333333333 玩AB0.8916666666666666 耍A0.004166666666666667
  	class: 触  	d: 8  	pt: 1.782608695652174  	diff:  触发A0.2391304347826087 接触A0.5217391304347826 触及A0.13043478260869565 碰AB0.4565217391304348 触AB0.43478260869565216
  	class: 粗暴  	d: 14  	pt: 1.7777777777777777  	diff:  野A0.7777777777777778 粗暴AB0.8888888888888888 强行A0.1111111111111111
  	class: 关怀  	d: 10  	pt: 1.7426470588235294  	diff:  关注A0.8713235294117647 关心AB0.8713235294117647
  	class: 答应  	d: 10  	pt: 1.7377049180327868  	diff:  应A0.8688524590163934 承诺AB0.8688524590163934
  	class: 棋  	d: 3  	pt: 1.6666666666666667  	diff:  棋子AB0.8333333333333334 棋A0.6666666666666666 棋类A0.16666666666666666
  	class: 时期  	d: 4  	pt: 1.6404494382022472  	diff:  时代A0.8202247191011236 时期AB0.8202247191011236
  	class: 方法  	d: 11  	pt: 1.600259571706684  	diff:  方式AB0.30142764438676184 方法A0.7744970798182998 办法A0.01654769630110318 艺术A0.009085009733939001 措施AB0.49870214146658015
  	class: 坏  	d: 17  	pt: 1.6  	diff:  鬼AB0.8 欠佳A0.2 不良A0.5 糟A0.1
  	class: 凸  	d: 6  	pt: 1.6  	diff:  凸显AB0.8 凸A0.6666666666666666 凸出A0.13333333333333333
  	class: 生效  	d: 5  	pt: 1.6  	diff:  奏效A0.8 生效AB0.8
  	class: 管辖  	d: 9  	pt: 1.5714285714285714  	diff:  总统AB0.7857142857142857 部A0.42857142857142855 总理A0.35714285714285715
  	class: 因素  	d: 3  	pt: 1.5  	diff:  因素AB0.75 要素A0.06493506493506493 元素A0.685064935064935
  	class: 吸引  	d: 8  	pt: 1.436619718309859  	diff:  引发AB0.7183098591549295 吸引A0.6619718309859155 抓住A0.04225352112676056 掀起A0.014084507042253521
  	class: 条款  	d: 5  	pt: 1.4285714285714286  	diff:  条目A0.7142857142857143 条款AB0.7142857142857143
  	class: 激发  	d: 10  	pt: 1.358490566037736  	diff:  刺激AB0.679245283018868 激励A0.49056603773584906 激发A0.16981132075471697 鼓舞A0.018867924528301886
  	class: 增长  	d: 6  	pt: 1.3387096774193548  	diff:  添加A0.6290322580645161 长AB0.6693548387096775 日益增长A0.010752688172043012 累加A0.02956989247311828
  	class: 杰作  	d: 16  	pt: 1.3333333333333335  	diff:  杰作AB0.6666666666666667 名著A0.6666666666666666
  	class: 捆  	d: 15  	pt: 1.3333333333333335  	diff:  绑AB0.6666666666666667 捆绑A0.6666666666666666
  	class: 陆地  	d: 7  	pt: 1.3333333333333335  	diff:  大陆AB0.6666666666666667 陆地A0.6666666666666666
